# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, IMAGE_NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
127 0.9626123204287101 0.022232978958329427 -0.2095270507977658 -0.17023991949446832 -0.28522550170861055 -1.7281673663664887 1.978121096222829 1 frame_00127.png

126 0.9563994903603743 0.02414826834880528 -0.2249153715691868 -0.1847429338461018 -0.35523922318118417 -1.7128747262662263 1.9391529548561333 1 frame_00126.png

125 0.9496865784578884 0.026315945351629184 -0.2400638530893452 -0.19942973739414163 -0.4227246402748513 -1.6996683790656089 1.8987743485894926 1 frame_00125.png

124 0.935122126192585 0.030980035358383083 -0.2693024838778314 -0.22817322080271177 -0.5383884590400044 -1.6727293893271669 1.8174745858317114 1 frame_00123.png

123 0.9426238426141281 0.02837251934022686 -0.25479452451943235 -0.21385752677093278 -0.4817212069594848 -1.6845661933018357 1.8579660085476326 1 frame_00124.png

122 0.9271801759536689 0.03388363473892308 -0.28367771970259503 -0.24231337552792834 -0.5962382295001651 -1.6637817765374008 1.772747906005003 1 frame_00122.png

121 0.9189968970181043 0.036823811110898746 -0.2976130653282236 -0.25595932011220734 -0.6452203958202165 -1.6501459063537203 1.747919184871001 1 frame_00121.png

120 0.910570097479279 0.040271570346417894 -0.3112424162685302 -0.26901385933393296 -0.69103102607306 -1.6318092257459311 1.714981169533709 1 frame_00120.png

119 0.9018217196666052 0.043938369052394365 -0.32471589327221817 -0.2816852752967538 -0.7372098557755611 -1.6117844622748732 1.6810809674314988 1 frame_00119.png

118 0.7980238909295003 0.08670395947651857 -0.44659924477497415 -0.3952080559442813 -1.033436603341574 -1.3535380001108597 1.186752957901192 1 frame_00109.png

117 0.8928367857598954 0.0477658373360836 -0.3378538815885878 -0.29396539502643126 -0.7805654397934833 -1.5913145855868405 1.6414979330131485 1 frame_00118.png

116 0.8836101923553696 0.05184377737758108 -0.3507060621813918 -0.3058602763716667 -0.8191330376130749 -1.5707773925085977 1.6025497059523455 1 frame_00117.png

115 0.8739031529684794 0.05615162810742184 -0.36350848688468645 -0.3178078882838528 -0.8585019379147976 -1.5506082738059508 1.5567137512652252 1 frame_00116.png

114 0.8638361360790284 0.0605903748047077 -0.37601008246597534 -0.3297458936347957 -0.8985315543231582 -1.5305363293933234 1.5054578378861994 1 frame_00115.png

113 0.8320124839825425 0.07442270130586198 -0.41228501299922427 -0.36364482133500436 -0.9807418130737217 -1.4622140457024473 1.3306300461059395 1 frame_00112.png

112 0.8536060833913315 0.06527952292679716 -0.3881587137404275 -0.34121554951546096 -0.9326750048315129 -1.510670529829754 1.4442735429176665 1 frame_00114.png

111 0.8096525429604983 0.08299886701743418 -0.43541328604967694 -0.38469366784864456 -1.0180593883571551 -1.3910414797104074 1.232533354225507 1 frame_00110.png

110 0.8429867850016727 0.06968808156839246 -0.40036872792879563 -0.35245103673636585 -0.9586568420373093 -1.487108835223353 1.3873416963456084 1 frame_00113.png

109 0.820971095153461 0.07873339079742155 -0.42400518656961533 -0.3742019720126192 -1.0013320155622296 -1.429826493240113 1.282339671233094 1 frame_00111.png

108 0.7860514225994458 0.08993593340974332 -0.45769282141757334 -0.4056500587130819 -1.0477092765239286 -1.3179650926247712 1.1422988828142777 1 frame_00108.png

107 0.7739497320728629 0.09259974798862859 -0.46858481103446376 -0.4157587927688149 -1.0591239572338262 -1.283669239795362 1.1041034741691085 1 frame_00107.png

106 0.7617984544916362 0.09452737029821875 -0.4792154702987859 -0.4255352206633094 -1.0713207592979253 -1.2505570544128026 1.068129643100551 1 frame_00106.png

105 0.7494891903980417 0.09585858336036233 -0.48943342656931615 -0.4353527379370092 -1.0838560583105659 -1.2189954801007064 1.0262359919227373 1 frame_00105.png

104 0.7251566347726902 0.09683508648464347 -0.5088068494440884 -0.45374707825994826 -1.0874448126277612 -1.1592003222151686 0.9491325749300725 1 frame_00103.png

103 0.7372028111189508 0.09669704996221604 -0.4992783843982199 -0.4448626649648456 -1.0888944508545306 -1.1877841471855117 0.9809104632628131 1 frame_00104.png

102 0.7130448826531267 0.09675781788381202 -0.5186191699701597 -0.46177816810673766 -1.087333997420436 -1.1394377381119138 0.9214293479790343 1 frame_00102.png

101 0.7017615338242087 0.09579113071244444 -0.5275663249629077 -0.46907204317317525 -1.0797334754567411 -1.1248569032167597 0.9062900309608489 1 frame_00101.png

100 0.6909998811310651 0.09479281764598986 -0.5360329565560417 -0.47560714406469634 -1.0627695857039832 -1.1079338973894082 0.9054037955385484 1 frame_00100.png

99 0.6803490967358916 0.09393939541672369 -0.5442672783184431 -0.48174020624319014 -1.0437439478332895 -1.084497926736152 0.9088510810885044 1 frame_00099.png

98 0.6606728551356325 0.09196322622728972 -0.5589138762312511 -0.49261488250453606 -1.0037362105865004 -1.0364412399354883 0.9264487310460382 1 frame_00097.png

